epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,69.6012,2.15994,0.78361,0.96627,0.74974,0.000107564,0.000107564,0.000107564
2,137.401,0.75824,0.9019,0.99311,0.32281,0.000179718,0.000179718,0.000179718
3,203.181,0.48821,0.92613,0.99454,0.23821,0.000216341,0.000216341,0.000216341
4,268.44,0.37027,0.94204,0.9962,0.18481,0.000163115,0.000163115,0.000163115
5,333.569,0.31298,0.95249,0.99739,0.15603,0.00010982,0.00010982,0.00010982
6,398.837,0.27005,0.95748,0.9981,0.13579,5.6525e-05,5.6525e-05,5.6525e-05
